Wall time,Step,Value
1694434572.1224794,6473,1.9532198905944824
1694434583.7496793,6528,2.402338981628418
1694434587.2630465,6546,1.821054458618164
1694434588.229721,6551,1.6493219137191772
1694434590.813795,6564,2.2500805854797363
1694434592.131994,6569,1.9510180950164795
1694434595.4526236,6585,2.049159288406372
1694434596.3919425,6590,2.031789779663086
1694434598.1428022,6599,2.026703119277954
1694434601.314768,6615,1.9770290851593018
1694434612.5255067,6673,2.2505381107330322
1694434621.8415186,6720,1.6398191452026367
1694434623.8217888,6730,2.054025650024414
1694434627.662594,6750,2.1798977851867676
1694434637.6552598,6802,1.9782145023345947
1694434645.6565297,6842,1.8933298587799072
1694434647.1753914,6850,2.196018934249878
1694434649.0812907,6859,1.7300726175308228
1694434652.12132,6875,2.6988680362701416
1694434660.622999,6916,2.168334484100342
1694434661.204298,6919,2.2085390090942383
1694434663.312906,6930,1.5526825189590454
1694434675.6591406,6991,2.0259816646575928
1694434676.6121812,6996,2.116309404373169
1694434677.0017457,6998,2.164121389389038
1694434687.9437714,7054,1.784386157989502
1694434700.7109993,7117,2.1445345878601074
1694434701.3036692,7120,2.0594468116760254
1694434702.489922,7126,1.7561209201812744
1694434710.1099784,7164,2.320774555206299
1694434712.8961577,7178,2.1862599849700928
1694434718.4389372,7207,2.165165901184082
1694434727.399029,7253,2.6262989044189453
1694434731.468154,7274,2.1117444038391113
1694434738.239513,7308,1.988907814025879
1694434744.1373363,7338,1.9409403800964355
1694434747.5354311,7353,1.7791032791137695
1694434750.312681,7367,2.045503854751587
1694434764.3202693,7436,1.8311114311218262
1694434769.666135,7464,2.2314791679382324
1694434770.4273312,7468,1.5696537494659424
1694434770.8246148,7470,1.971003770828247
1694434773.1058755,7482,2.096444845199585
1694434778.043434,7506,2.025097131729126
1694434780.3883939,7518,1.8419921398162842
1694434783.1919236,7532,2.2827162742614746
1694434785.3358586,7543,1.7260923385620117
1694434787.2792685,7553,1.9127262830734253
1694434795.569416,7593,1.8118053674697876
1694434797.4531627,7602,1.410132884979248
1694434797.8611238,7604,2.3951189517974854
1694434804.8214476,7638,2.163167715072632
1694434806.2163613,7644,1.6368073225021362
1694434809.425215,7660,1.9249924421310425
1694434822.7811265,7727,2.1710972785949707
1694434823.3711724,7730,2.1450371742248535
